feature,importance
ICP_Zn (ppm) 202.5 nm ,0.0
ICP_Ni (ppm),0.0
ICP_Ce (ppm),0.0
ICP_Nb (ppm),0.0
ICP_Cr (ppm) 283.6 nm ,0.0
ICP_Al2O3 308.2 nm ,0.0
ICP_Al2O3 396.2 nm ,0.0
ICP_Ba (ppm) 233.5 nm ,0.0
ICP_Ba (ppm) 455.4 nm ,0.0
ICP_Ba (ppm) 455.403 nm ,0.0
ICP_Ba 455.4 nm ,0.0
ICP_Ba 493.4 nm ,0.0
ICP_CaO (wt%) 315.9 nm ,0.0
ICP_CaO (wt%) 317.9 nm ,0.0
ICP_CaO (wt%) 317.933 nm ,0.0
ICP_CaO (wt%) 396.8 nm ,0.0
ICP_CaO (wt%) 422.7 nm ,0.0
ICP_CaO 315.9 nm ,0.0
ICP_CaO 317.9 nm ,0.0
ICP_Co (ppm),0.0
ICP_Co (ppm) 228.615 nm ,0.0
ICP_Co 228.6 nm ,0.0
ICP_Cr (ppm) 205.6 nm ,0.0
ICP_Cr (ppm) 206.1 nm ,0.0
ICP_Al2O3 (wt%) 396.2 nm ,0.0
ICP_Al2O3 (wt%) 394.4 nm ,0.0
ICP_Al2O3 (wt%) 309.3 nm ,0.0
RGB_Longitude (DD)_mean,0.0
MAD_Depth CSF-A (m)_std,0.0
MAD_Depth CSF-B (m)_std,0.0
MAD_Container number_std,0.0
MAD_Mass porewater (g)_std,0.0
RGB_Test comments_mean,0.0
RGB_Test comments_std,0.0
RGB_Latitude (DD)_mean,0.0
RGB_Latitude (DD)_std,0.0
RGB_Longitude (DD)_std,0.0
ICP_Al2O3 (wt%) 308.2 nm ,0.0
SRM_Offset (cm)_mean,0.0
SRM_Offset (cm)_std,0.0
SRM_Demag level (mT)_mean,0.0
SRM_Magnetic moment y (Am^2)_std,0.0
SRM_Magnetic moment z (Am^2)_std,0.0
CARB_Sample treatment method (CHNS organic carbon),0.0
CARB_Sample comments,0.0
ICP_Top offset on section (cm),0.0
ICP_Cr (ppm) 267.716 nm ,0.0
ICP_Cr 205.6 nm ,0.0
ICP_Na2O 589.6 nm ,0.0
ICP_Cr 267.7 nm ,0.0
ICP_K2O (wt%) 769.9 nm ,0.0
ICP_K2O 766.5 nm ,0.0
ICP_K2O 769.9 nm ,0.0
ICP_La (ppm),0.0
ICP_MgO (wt%) 202.582 nm ,0.0
ICP_MgO (wt%) 279.6 nm ,0.0
ICP_MgO (wt%) 280.3 nm ,0.0
ICP_MgO (wt%) 285.2 nm ,0.0
ICP_MgO 280.3 nm ,0.0
ICP_MgO 285.2 nm ,0.0
ICP_MnO (wt%) 257.6 nm ,0.0
ICP_MnO (wt%) 259.4 nm ,0.0
ICP_MnO 257.6 nm ,0.0
ICP_MnO 259.4 nm ,0.0
ICP_Mo (ppm) 202.032 nm ,0.0
ICP_Na2O (wt%) 588.995 nm ,0.0
ICP_Na2O (wt%) 589 nm ,0.0
ICP_Na2O (wt%) 589.6 nm ,0.0
ICP_Na2O 589 nm ,0.0
ICP_K2O (wt%) 766.5 nm ,0.0
ICP_K2O (wt%) 766.491 nm ,0.0
ICP_K2O (wt%),0.0
ICP_Fe2O3 (wt%),0.0
ICP_Cu (ppm),0.0
ICP_Cu (ppm) 224.7 nm ,0.0
ICP_Cu (ppm) 324.8 nm ,0.0
ICP_Cu (ppm) 327.395 nm ,0.0
ICP_Cu (ppm) 327.4 nm ,0.0
ICP_Cu 224.7 nm ,0.0
ICP_Cu 324.8 nm ,0.0
ICP_Fe (ppm) 238.2 nm ,0.0
ICP_Fe2O3t (wt%) 238.2 nm ,0.0
ICP_Ge (ppm) 303.9 nm ,0.0
ICP_Fe2O3t (wt%) 239.6 nm ,0.0
ICP_Fe2O3t (wt%) 259.9 nm ,0.0
ICP_Fe2O3t 238.2 nm ,0.0
ICP_Fe2O3t 239.6 nm ,0.0
ICP_Fe2O3t 259.9 nm ,0.0
ICP_Ga (ppm),0.0
ICP_Ge (ppm),0.0
ICP_Ge (ppm) 219.9 nm ,0.0
PWC_Result comments,0.0
