borehole_id,n_samples,min_depth,max_depth,depth_range,total_min_depth,total_max_depth,total_depth_range
367-U1499-A,1831,0.0,129.6,129.6,0.0,129.6,129.6
374-U1521-A,2014,0.0,129.6,129.6,0.0,129.6,129.6
375-U1520-D,1487,0.0,127.16000000000003,127.16000000000003,0.0,127.16000000000003,127.16000000000003
356-U1461-D,1582,91.0,217.72,126.72,91.0,217.72,126.72
354-U1451-B,865,108.4,234.96,126.56,108.4,234.96,126.56
359-U1467-B,2625,0.0,123.4,123.4,0.0,123.4,123.4
354-U1451-A,1620,0.0,115.60000000000001,115.60000000000001,0.0,115.60000000000001,115.60000000000001
355-U1456-D,1555,91.76,203.64000000000001,111.88000000000001,91.76,203.64000000000001,111.88000000000001
349-U1431-D,1931,0.0,111.44000000000001,111.44000000000001,0.0,111.44000000000001,111.44000000000001
367-U1500-B,733,170.28000000000003,279.92,109.63999999999999,170.28000000000003,279.92,109.63999999999999
346-U1427-A,2337,0.0,109.56000000000002,109.56000000000002,0.0,109.56000000000002,109.56000000000002
371-U1511-B,1367,3.9600000000000004,112.12,108.16000000000001,3.9600000000000004,112.12,108.16000000000001
363-U1482-C,2550,0.24000000000000005,106.92000000000002,106.68000000000002,0.24000000000000005,106.92000000000002,106.68000000000002
375-U1519-C,553,21.6,127.12,105.52000000000001,21.6,127.12,105.52000000000001
356-U1464-C,452,61.6,166.56000000000003,104.96000000000004,61.6,166.56000000000003,104.96000000000004
356-U1464-D,1258,0.0,104.76000000000002,104.76000000000002,0.0,104.76000000000002,104.76000000000002
352-U1442-A,510,0.0,104.60000000000001,104.60000000000001,0.0,104.60000000000001,104.60000000000001
369-U1515-A,445,0.0,102.56000000000002,102.56000000000002,0.0,102.56000000000002,102.56000000000002
363-U1482-A,2412,0.0,98.0,98.0,0.0,98.0,98.0
359-U1466-B,434,62.800000000000004,160.72000000000003,97.92000000000002,62.800000000000004,160.72000000000003,97.92000000000002
356-U1463-B,1741,0.0,96.84000000000003,96.84000000000003,0.0,96.84000000000003,96.84000000000003
368-U1505-C,2292,0.0,96.0,96.0,0.0,96.0,96.0
371-U1507-B,1811,75.2,171.12,95.92,75.2,171.12,95.92
371-U1510-A,1226,0.0,95.56,95.56,0.0,95.56,95.56
367-U1500-A,419,75.64000000000003,170.52,94.87999999999998,75.64000000000003,170.52,94.87999999999998
355-U1456-C,1051,0.0,92.72000000000001,92.72000000000001,0.0,92.72000000000001,92.72000000000001
368-U1501-C,2144,0.0,91.52000000000001,91.52000000000001,0.0,91.52000000000001,91.52000000000001
356-U1461-C,1987,0.0,88.72000000000001,88.72000000000001,0.0,88.72000000000001,88.72000000000001
376-U1530-A,384,0.0,86.96000000000001,86.96000000000001,0.0,86.96000000000001,86.96000000000001
350-U1437-B,1151,0.0,86.24000000000002,86.24000000000002,0.0,86.24000000000002,86.24000000000002
346-U1425-D,1673,0.0,86.16000000000001,86.16000000000001,0.0,86.16000000000001,86.16000000000001
371-U1508-C,907,55.6,140.36,84.76000000000002,55.6,140.36,84.76000000000002
371-U1507-A,1690,0.0,84.04000000000002,84.04000000000002,0.0,84.04000000000002,84.04000000000002
353-U1448-A,2083,0.0,84.0,84.0,0.0,84.0,84.0
355-U1456-A,1770,0.0,83.80000000000001,83.80000000000001,0.0,83.80000000000001,83.80000000000001
379-U1532-G,1797,74.48,157.44000000000003,82.96000000000002,74.48,157.44000000000003,82.96000000000002
367-U1499-B,671,131.0,212.56,81.56,131.0,212.56,81.56
346-U1427-B,1849,0.0,81.12,81.12,0.0,81.12,81.12
349-U1431-E,1306,120.64000000000001,201.52,80.88,120.64000000000001,201.52,80.88
346-U1425-B,1540,0.0,80.72000000000001,80.72000000000001,0.0,80.72000000000001,80.72000000000001
359-U1471-E,869,119.28,199.96,80.68,119.28,199.96,80.68
375-U1520-C,1106,129.20000000000002,209.12,79.91999999999999,129.20000000000002,209.12,79.91999999999999
346-U1426-A,1763,0.0,79.32000000000001,79.32000000000001,0.0,79.32000000000001,79.32000000000001
356-U1463-C,1731,0.0,78.44000000000003,78.44000000000003,0.0,78.44000000000003,78.44000000000003
