Borehole_ID,total_min_depth,total_max_depth,total_depth_range
345_U1415_J,26.2,104.55,78.35
345_U1415_P,12.5,100.956,88.456
346_U1422_A,0.0,9.689,9.689
346_U1422_B,0.0,9.45,9.45
346_U1422_C,0.0,205.244,205.244
346_U1422_D,0.0,142.241,142.241
346_U1422_E,0.0,111.646,111.646
346_U1423_A,0.0,206.746,206.746
346_U1423_B,0.0,249.295,249.295
346_U1423_C,114.0,180.619,66.619
346_U1424_A,0.0,158.727,158.727
346_U1424_B,0.0,154.875,154.875
346_U1424_C,25.9,63.794,37.894
346_U1425_B,0.0,403.6,403.6
346_U1425_D,0.0,430.949,430.949
346_U1425_E,0.0,113.043,113.043
346_U1426_A,0.0,396.677,396.677
346_U1426_B,0.0,34.692,34.692
346_U1426_C,0.0,206.5,206.5
346_U1426_D,0.0,99.366,99.366
346_U1427_A,0.0,547.89,547.89
346_U1427_B,0.0,405.666,405.666
346_U1427_C,0.0,351.691,351.691
346_U1428_A,0.0,211.492,211.492
346_U1428_B,0.0,143.283,143.283
346_U1429_A,0.0,188.2,188.2
346_U1429_B,0.0,186.185,186.185
346_U1429_C,0.0,179.2,179.2
346_U1430_A,0.0,249.269,249.269
346_U1430_B,0.0,273.0,273.0
346_U1430_C,0.0,250.0,250.0
349_U1431_A,0.025,9.185,9.16
349_U1431_B,1.0,16.82,15.82
349_U1431_C,0.0,14.217,14.217
349_U1431_D,0.0,557.445,557.445
349_U1431_E,603.3,1007.885,404.58500000000004
349_U1432_C,0.0,109.829,109.829
349_U1433_A,0.0,188.656,188.656
349_U1433_B,186.1,857.465,671.365
349_U1434_A,197.0,308.65,111.64999999999998
349_U1435_A,26.325,299.0,272.675
350_U1436_A,0.0,105.614,105.614
350_U1436_B,0.0,61.7,61.7
350_U1436_C,0.0,70.099,70.099
350_U1436_D,40.0,61.947,21.947000000000003
350_U1437_B,0.0,431.3,431.3
350_U1437_D,427.2,1096.649,669.4489999999998
350_U1437_E,1104.0,1800.298,696.298
351_U1438_A,0.0,26.54,26.54
351_U1438_B,0.025,256.818,256.793
351_U1438_D,219.0,894.721,675.721
351_U1438_E,867.3,1604.6,737.3
352_U1439_A,0.0,196.95,196.95
352_U1439_C,182.0,542.23,360.23
352_U1440_A,0.0,103.313,103.313
352_U1440_B,102.3,369.09,266.78999999999996
352_U1441_A,0.0,199.88,199.88
352_U1442_A,0.0,522.969,522.969
