mask_prob,r2_gra,r2_ms,r2_ngr,r2_r,r2_g,r2_b
0.21,-0.016456246376037598,0.1452178955078125,-0.15685975551605225,0.4607834219932556,0.4583802819252014,0.4327729344367981
0.26,-0.024035334587097168,0.19004476070404053,-0.05059194564819336,0.4321376085281372,0.4286351799964905,0.39510804414749146
0.27,0.0021611452102661133,0.17738419771194458,-0.017358899116516113,0.5302869081497192,0.5267397165298462,0.4971822500228882
0.28,-0.03914153575897217,0.21154707670211792,0.029782116413116455,0.49978727102279663,0.4940411448478699,0.47572290897369385
0.25,0.01104038953781128,0.16236156225204468,-0.055060625076293945,0.48449134826660156,0.47788751125335693,0.44876378774642944
0.3,-0.0009737014770507812,0.15007776021957397,-0.04093897342681885,0.4748961925506592,0.4746618866920471,0.45336711406707764
0.31,0.04787266254425049,0.211870014667511,0.10286420583724976,0.4341883063316345,0.42809104919433594,0.4032210111618042
0.32,0.01257866621017456,0.23231995105743408,0.10024070739746094,0.5229838490486145,0.5216086506843567,0.5011461973190308
0.29,0.007968366146087646,0.14429795742034912,-0.026910901069641113,0.4462898373603821,0.4447268843650818,0.42431920766830444
0.34,0.014092862606048584,0.19123119115829468,0.1449049711227417,0.5107465982437134,0.507164716720581,0.4834825396537781
0.35,0.015236616134643555,0.1756342649459839,-0.03400063514709473,0.5036715269088745,0.5000573396682739,0.48007732629776
0.36,0.025564730167388916,0.21869802474975586,0.07716548442840576,0.6020352840423584,0.6014430522918701,0.5777862668037415
0.38,0.03729653358459473,0.22262084484100342,-0.02660202980041504,0.5781497359275818,0.580668568611145,0.5584291219711304
0.33,0.015072286128997803,0.19850671291351318,0.07188665866851807,0.49047917127609253,0.4920382499694824,0.47379612922668457
0.39,0.03016650676727295,0.2840763330459595,0.08748257160186768,0.6785022616386414,0.6773126125335693,0.6442391872406006
0.4,0.040862858295440674,0.21816116571426392,0.031095027923583984,0.5308960676193237,0.5314570665359497,0.5075572729110718
0.37,0.005324959754943848,0.21530961990356445,0.03636908531188965,0.5488368272781372,0.5490661263465881,0.5174553394317627
0.42,0.02648603916168213,0.24159014225006104,0.030962049961090088,0.5879731178283691,0.5870468020439148,0.5590386390686035
0.43,0.05369967222213745,0.2228611707687378,0.12212461233139038,0.576860249042511,0.578548789024353,0.5562775731086731
0.44,0.031851887702941895,0.28643059730529785,-0.011560559272766113,0.6464070081710815,0.6460659503936768,0.6265679597854614
0.46,0.03179222345352173,0.2881934642791748,0.06966495513916016,0.6065220832824707,0.6037243008613586,0.5791618824005127
0.41,0.031378865242004395,0.24040257930755615,0.035848259925842285,0.5977815985679626,0.5970379710197449,0.572094202041626
0.47,0.0401650071144104,0.2506682872772217,0.054161667823791504,0.5736809968948364,0.5738345384597778,0.5504021644592285
0.48,0.028316020965576172,0.27529239654541016,0.1439247727394104,0.6482452750205994,0.647219181060791,0.6239490509033203
0.5,0.060033559799194336,0.2545868158340454,-0.013332247734069824,0.6513104438781738,0.6484087109565735,0.6167851686477661
0.45,0.04609280824661255,0.2731112837791443,0.15755712985992432,0.6296550035476685,0.6310025453567505,0.6163761615753174
0.49,0.0256960391998291,0.24842572212219238,0.08714050054550171,0.6479671597480774,0.6482845544815063,0.6248250007629395
