Lithology Subtype,Principal,mean,rsd,median,count,count_outliers,outlier_count_ratio %,kurtosis,skew
clastic,clayey sand,35.95204637096774,0.17685278904568708,36.6,1984,26,1.310483870967742,5.521219777120255,-1.1512855665358162
clastic,clayey sandstone,36.21458377239199,0.1880734461998339,37.94,949,4,0.4214963119072708,1.3709490228285528,-0.300580492408795
clastic,clayey silt,37.324466225724734,0.16504955154859113,37.2,71060,616,0.8668730650154799,3.753867076148805,-0.5804631283765771
clastic,clayey siltstone,34.57668616159798,0.1978166577993458,34.6,11114,192,1.7275508367824366,4.081552920195398,0.8251201405233048
clastic,claystone,35.9873148635375,0.2932746840772412,34.8,114024,2111,1.85136462499123,6.0806075271404385,1.8263761209320695
clastic,coarse sand,38.104335664335665,0.11354812434336141,38.39,286,1,0.34965034965034963,0.062071004928183626,-0.31615803076765925
clastic,coarse sand and gravel,34.31422222222223,0.10527621081301033,34.32,45,1,2.2222222222222223,1.0155611782287854,-0.7194053655739687
clastic,coarse sandstone,43.87404761904762,0.23534760078160366,41.67,42,1,2.380952380952381,2.5575586724051,1.4285279644568754
clastic,diatom clay,41.957301726660816,0.15980217031352414,42.7,3417,49,1.434006438396254,14.662147108874343,-2.799491346969025
clastic,diatom silt,40.87485353535353,0.11981078324839581,41.1,13860,111,0.8008658008658008,1.2812172843260976,-0.39555158175174615
clastic,fine sand,36.277068312354885,0.1472572222822956,35.16,8183,143,1.7475253574483687,6.559714817409356,1.743371248125481
clastic,fine sand-silt-clay,36.22830188679245,0.1021468144064936,36.7,53,1,1.8867924528301887,0.3775484225148764,-0.3847108206143293
clastic,fine sandstone,34.65425508152781,0.16193281044219554,34.4,4477,20,0.4467277194549922,0.46016048358734407,0.2144000391785132
clastic,fine silt,49.4,0.0,49.4,1,0,0.0,,
clastic,foraminifera clay,44.90387755102041,0.1448373586328749,44.44,1715,4,0.23323615160349853,0.6961933632633803,-0.08591158612279813
clastic,foraminifera mud,38.85142857142857,0.1447571878348165,40.5,70,0,0.0,-0.3545237307992726,0.2238545065249965
clastic,foraminifera sand,48.14337912087912,0.15418190548065547,48.5,364,7,1.9230769230769231,1.3082384538516143,0.44263739225417525
clastic,foraminifera sandstone,38.094415584415586,0.15202951982650853,39.32,77,0,0.0,-0.6611922294588934,-0.5035109575779121
clastic,foraminifera silt,49.42184713375796,0.09646797279887252,49.7,157,1,0.6369426751592356,0.35720904215672356,-0.5033902463974586
clastic,gravelly sand,38.97,0.0,38.97,1,0,0.0,,
clastic,gravelly sandstone,24.676335877862595,0.20701170664199528,24.6,262,2,0.7633587786259542,0.571051295151999,0.2534254126510911
clastic,interbedded clay/claystone and mud/mudstone,36.525,0.25423988889896587,32.15,8,0,0.0,2.0922851294142024,1.8758954141933937
clastic,interbedded pelagic clay and porcellanite,25.662987012987013,0.32866798122688445,25.3,770,12,1.5584415584415585,1.795259924135614,0.2134176955097157
clastic,interbedded sand and mud,38.223623224212474,0.09481191242130035,38.47,8095,104,1.284743668931439,2.0756769951767744,-0.41940515060830963
clastic,interbedded sand/sandstone and mud/mudstone,39.135948484848484,0.10154925921640207,39.2,3300,24,0.7272727272727273,1.1277434716653332,-0.1966513415168321
clastic,interbedded sandstone and mudstone,38.145554030874784,0.08279565425639722,38.14,2915,23,0.7890222984562607,1.1949546123903572,-0.40215799505374034
clastic,interbedded silt and clay,38.64748032103719,0.1437110989600167,39.6,25916,301,1.1614446673869425,1.2631679740015453,-0.9451232954235145
clastic,interbedded silt/siltstone and mud/mudstone,36.13085117721151,0.10054581236738296,35.8,20642,83,0.40209282046313344,0.6406507595715412,0.10175310433063378
